"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.05,5,1,"NN",0.0166782692483021,0.231779567225671,41.3662788582226
1000,0.05,5,1,"EWMA",0.0123726870436602,0.199067336884675,37.395219851713
1000,0.05,5,1,"LI",0.0117569312567254,0.200150023598114,37.3335308268734
1000,0.05,5,1,"KAF",0.512984981241587,0.541174715135218,92.4977149254658
1000,0.05,5,1,"RMEA",0.00795765454857726,0.157680563859851,29.379178884116
1000,0.05,5,1,"NNI",0.0183826295870342,0.182232272376474,32.8303421353398
1000,0.05,5,2,"NN",0.0348211949895447,0.241307259082775,46.9772437877167
1000,0.05,5,2,"EWMA",0.00224407376476353,0.17866270863861,35.0310917769944
1000,0.05,5,2,"LI",0.0278131472049865,0.191807217119413,35.1644492458879
1000,0.05,5,2,"KAF",0.515201424010346,0.537552867029515,100.196995837396
1000,0.05,5,2,"RMEA",0.00184483201550855,0.172326939996421,33.7437963038313
1000,0.05,5,2,"NNI",0.0555389010721035,0.184642465542736,38.8096596101133
1000,0.05,5,3,"NN",0.02349482609662,0.218670974495815,40.3817757875948
1000,0.05,5,3,"EWMA",0.012124550843621,0.196262003741289,35.5739938022576
1000,0.05,5,3,"LI",0.0318705751030831,0.200965787081623,35.4374433908543
1000,0.05,5,3,"KAF",0.665841830848971,0.685777457779638,127.837206811269
1000,0.05,5,3,"RMEA",1.96214422851537e-05,0.153076988146911,28.1061561916911
1000,0.05,5,3,"NNI",0.00841470411060048,0.174112552520151,32.0996286607032
1000,0.05,5,4,"NN",0.0171998578441476,0.170273074331475,40.3835053920467
1000,0.05,5,4,"EWMA",0.00573596045891181,0.151185799279974,38.0405699213721
1000,0.05,5,4,"LI",0.00497713153397856,0.159678293974708,41.3936758188825
1000,0.05,5,4,"KAF",0.417792398512945,0.438950025187137,112.622109270477
1000,0.05,5,4,"RMEA",0.0221054173315476,0.132402212443101,37.8559248915245
1000,0.05,5,4,"NNI",0.0411961718572589,0.143418995331235,40.2218765830825
1000,0.05,5,5,"NN",0.0069990771982245,0.18072025724774,33.2493407811502
1000,0.05,5,5,"EWMA",0.0136030527038635,0.176592722796821,35.4813127527548
1000,0.05,5,5,"LI",0.00330225480435907,0.176119274153696,34.5613065502502
1000,0.05,5,5,"KAF",0.583622349749669,0.604930952771605,110.230298659549
1000,0.05,5,5,"RMEA",0.00696564196071596,0.150483521045764,30.9197843960843
1000,0.05,5,5,"NNI",0.121656061065167,0.206681750229781,44.0330706612198
1000,0.05,5,6,"NN",0.0260528784621436,0.202304895060223,41.7849865387476
1000,0.05,5,6,"EWMA",0.00206081913933739,0.168009974016065,36.3863569333262
1000,0.05,5,6,"LI",0.0208502828494575,0.176920840798122,36.6274714035831
1000,0.05,5,6,"KAF",0.494817330198202,0.519681085089907,100
1000,0.05,5,6,"RMEA",0.00959973522046451,0.159111265635244,34.4961108059328
1000,0.05,5,6,"NNI",0.0351743150519468,0.170112801569662,33.7587035346543
1000,0.05,5,7,"NN",0.00615109612442111,0.179646147159913,40.3237706462277
1000,0.05,5,7,"EWMA",0.0138008506913761,0.176368316393693,45.2849119991974
1000,0.05,5,7,"LI",0.0278875931805942,0.18136221865825,46.9995743809138
1000,0.05,5,7,"KAF",0.14871568703375,0.22407996875845,40.6399493939129
1000,0.05,5,7,"RMEA",0.00329137006855776,0.164323219796099,40.6659248640481
1000,0.05,5,7,"NNI",0.0424648338765089,0.163867307916036,42.8056598909428
1000,0.05,5,8,"NN",0.017470298447844,0.22890326057292,60.7814767182291
1000,0.05,5,8,"EWMA",0.0174468724367699,0.195165072261908,53.3020542183105
1000,0.05,5,8,"LI",0.0311990497017342,0.226168565789225,60.1722190474781
1000,0.05,5,8,"KAF",0.589845439009234,0.609527936302959,132.296147899649
1000,0.05,5,8,"RMEA",0.00918337349205001,0.151502626080033,40.3943377813564
1000,0.05,5,8,"NNI",0.0169313069687544,0.212708540655586,56.7515718655584
1000,0.05,5,9,"NN",0.0677006923736941,0.240124738091771,61.2507521022806
1000,0.05,5,9,"EWMA",0.0512329210389934,0.195636254568421,50.7311393062764
1000,0.05,5,9,"LI",0.0515881391645924,0.229688121009856,58.1783984136921
1000,0.05,5,9,"KAF",0.701181161625812,0.722859801271617,163.370325718225
1000,0.05,5,9,"RMEA",0.0106787912053267,0.150956937073761,37.537717198687
1000,0.05,5,9,"NNI",0.0813463829550848,0.210749548329423,55.294241899536
1000,0.05,5,10,"NN",0.0402753307889802,0.215916100525097,38.1833902295803
1000,0.05,5,10,"EWMA",0.000287329752110671,0.179119488672852,34.8756628130644
1000,0.05,5,10,"LI",0.00406506297873259,0.206128664587863,36.9264783964079
1000,0.05,5,10,"KAF",0.644839507685639,0.669142373001441,141.683086092886
1000,0.05,5,10,"RMEA",0.0189606252691341,0.152298435465519,33.1796272692386
1000,0.05,5,10,"NNI",0.023443621876825,0.180901073109538,35.6518920544042
1000,0.05,10,1,"NN",0.0336520245837064,0.171407212482839,27.2555617848731
1000,0.05,10,1,"EWMA",0.077818248098056,0.158975323925612,25.3052975411808
1000,0.05,10,1,"LI",0.0895712960142052,0.164125507402604,24.9322871091267
1000,0.05,10,1,"KAF",0.450528496181108,0.472755764414647,81.2777520403761
1000,0.05,10,1,"RMEA",0.0513548289816907,0.130382405194381,20.8911827231245
1000,0.05,10,1,"NNI",0.0654746334252015,0.138751728260733,21.6944951097545
1000,0.05,10,2,"NN",0.0938009765328446,0.252984170884019,44.0228815346699
1000,0.05,10,2,"EWMA",0.0584213415300556,0.192065733921251,35.0147629541113
