"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.1,10,1,"HWI",0.0174630839217514,0.134640811172637,36.8746557198697
1000,0.1,10,1,"EWMA",0.0158229503655028,0.162794282931869,44.2200323983292
1000,0.1,10,1,"LI",0.0130974728099467,0.162893552254805,44.2364314973756
1000,0.1,10,1,"NNI",0.0320536043088621,0.165666554912157,45.7750795437734
1000,0.1,10,2,"HWI",0.0124965126337585,0.151193463204401,28.5356918550968
1000,0.1,10,2,"EWMA",0.0427120508222296,0.184429630902222,32.5273564661745
1000,0.1,10,2,"LI",0.0436175668680355,0.183715828451802,31.9695630783559
1000,0.1,10,2,"NNI",0.0958678778717579,0.201585002370291,32.5565807086164
1000,0.1,10,3,"HWI",0.0115727155819702,0.183458188185619,60.087479795536
1000,0.1,10,3,"EWMA",0.0241323243557755,0.181375366143278,54.5616740086545
1000,0.1,10,3,"LI",0.037317205005689,0.200838770504033,58.2971054275868
1000,0.1,10,3,"NNI",0.063587662639163,0.207192993739838,56.3733169620237
1000,0.1,10,4,"HWI",0.0276863500951877,0.168397346804045,43.3065857107494
1000,0.1,10,4,"EWMA",0.0580980928545408,0.199632323678414,47.0152740759409
1000,0.1,10,4,"LI",0.0528153475132738,0.223320167435818,50.4044781770579
1000,0.1,10,4,"NNI",0.043974016834809,0.207527573110685,47.7432610671252
1000,0.1,10,5,"HWI",0.0252871337722715,0.189151502262626,107.018672442322
1000,0.1,10,5,"EWMA",0.0247620357783647,0.220152400108805,130.389293626904
1000,0.1,10,5,"LI",0.0206094765436061,0.229622579030701,149.223315710694
1000,0.1,10,5,"NNI",0.0483881415145172,0.227334468105509,134.043664212026
1000,0.1,20,1,"HWI",0.00469231954200314,0.150833744471187,24.4526397017367
1000,0.1,20,1,"EWMA",0.0183704649511707,0.188844511887623,31.1805964204308
1000,0.1,20,1,"LI",0.0377647173499271,0.199110634571628,33.298228157444
1000,0.1,20,1,"NNI",0.0271425112490418,0.195635080556758,29.8695215353562
1000,0.1,20,2,"HWI",0.00842311349584085,0.180700856133705,61.2118634895028
1000,0.1,20,2,"EWMA",0.00184128686193989,0.207298899672605,69.6417129036465
1000,0.1,20,2,"LI",0.029527298919108,0.196359757594474,66.9776502685589
1000,0.1,20,2,"NNI",0.0647637728353529,0.197575788172356,76.7334011068774
1000,0.1,20,3,"HWI",0.00518460047605785,0.156438748279061,38.4674551205268
1000,0.1,20,3,"EWMA",0.00122150135774495,0.205515452397555,48.9835732890925
1000,0.1,20,3,"LI",0.0238934157447016,0.242642472254353,55.9833537982703
1000,0.1,20,3,"NNI",0.0306756977932989,0.223290932334684,51.6524341360188
1000,0.1,20,4,"HWI",0.0134210543042444,0.161844248992116,38.5430665556951
1000,0.1,20,4,"EWMA",0.0468528757902677,0.193508699424651,47.2474069033249
1000,0.1,20,4,"LI",0.0522503101069308,0.18626046467581,45.8884755721884
1000,0.1,20,4,"NNI",0.0723648834721343,0.188401913724876,47.6104921802941
1000,0.1,20,5,"HWI",0.0116049574307518,0.166430845093304,28.9531466196907
1000,0.1,20,5,"EWMA",0.0610283202693248,0.205109737229532,38.6378415167891
1000,0.1,20,5,"LI",0.103149364066607,0.224825933966226,42.9937413747098
1000,0.1,20,5,"NNI",0.0120228728031867,0.203136497477184,35.7621065873707
1000,0.1,30,1,"HWI",0.00152815053583973,0.144958448393986,28.9711403549798
1000,0.1,30,1,"EWMA",0.00102259597332632,0.171045027974899,32.0123548785192
1000,0.1,30,1,"LI",0.00647740050663466,0.161333871203063,31.4920522671015
1000,0.1,30,1,"NNI",0.012783598744032,0.161754412211333,31.8313355364717
1000,0.1,30,2,"HWI",0.0197408759433142,0.18281306550276,38.3358706730099
1000,0.1,30,2,"EWMA",0.0572984458672472,0.233484744338906,46.8055060600407
1000,0.1,30,2,"LI",0.0544006947973097,0.236084100639851,48.1014026478216
1000,0.1,30,2,"NNI",0.00719672173161613,0.217574590581545,41.9936747108391
1000,0.1,30,3,"HWI",0.0178808471762051,0.162829062499923,33.1109886095837
1000,0.1,30,3,"EWMA",0.0464614445914372,0.210541622481624,38.4796436837297
1000,0.1,30,3,"LI",0.0384293215796069,0.197221384987885,35.4432190946003
1000,0.1,30,3,"NNI",0.013056791567697,0.185126350351879,36.2934762595647
1000,0.1,30,4,"HWI",0.00730378261110444,0.153243720659099,24.0210481902103
1000,0.1,30,4,"EWMA",0.0320821271512106,0.223436574065645,33.8949483186142
1000,0.1,30,4,"LI",0.0129234662243104,0.230621649829684,34.5714728268279
1000,0.1,30,4,"NNI",0.0600139991678007,0.245092244510404,34.254505721328
1000,0.1,30,5,"HWI",0.0130605970688071,0.15545119425556,44.5887428997644
1000,0.1,30,5,"EWMA",0.0458049093892311,0.232276889104637,55.5640446979858
1000,0.1,30,5,"LI",0.0770780774688894,0.251719861648542,53.992029478685
1000,0.1,30,5,"NNI",0.035621994768683,0.230651864142739,54.3626991170757
1000,0.2,10,1,"HWI",0.0122990962875484,0.190447634040067,42.6242105512335
1000,0.2,10,1,"EWMA",0.0184849944880847,0.220279192026745,51.996617898462
1000,0.2,10,1,"LI",0.00686525577979405,0.228204883465869,52.8733315172106
1000,0.2,10,1,"NNI",0.0378792733016057,0.223442346921134,53.7609131679023
1000,0.2,10,2,"HWI",0.00161959744605819,0.161049554954244,51.6990519271335
1000,0.2,10,2,"EWMA",0.0175769430211177,0.191043690610062,58.11104921586
1000,0.2,10,2,"LI",0.0300465034614563,0.214809472432516,64.8685731403303
1000,0.2,10,2,"NNI",0.0743536565667901,0.212045393726288,69.2423379455921
1000,0.2,10,3,"HWI",0.0032746395484283,0.143499267073869,26.7559120447439
1000,0.2,10,3,"EWMA",0.0115060176222073,0.169102779639742,31.7107918982678
1000,0.2,10,3,"LI",0.0232790346860444,0.172533411473071,32.6915554998499
1000,0.2,10,3,"NNI",0.0239233378355225,0.176524115644812,33.2868383575495
1000,0.2,10,4,"HWI",0.000127834799429481,0.177639913928594,40.0138002090398
1000,0.2,10,4,"EWMA",0.00402798835232458,0.187962810619674,39.6427187373521
1000,0.2,10,4,"LI",0.00729842563126334,0.19583950474208,42.1818572610428
1000,0.2,10,4,"NNI",0.0403765713895767,0.200233247695973,45.9174745936048
1000,0.2,10,5,"HWI",0.00594545398938307,0.157118656347291,30.0614797969174
1000,0.2,10,5,"EWMA",0.00872929063935665,0.179392800762854,32.8457745066957
1000,0.2,10,5,"LI",0.00762918190600694,0.203419561913818,36.1172865879642
1000,0.2,10,5,"NNI",0.0927050402729557,0.226447167538047,43.5612268593549
1000,0.2,20,1,"HWI",0.011384573524251,0.125051043380949,23.4946233908131
1000,0.2,20,1,"EWMA",0.0298480023146263,0.146212667077596,24.7676780958536
1000,0.2,20,1,"LI",0.0415405162058461,0.161691070931693,27.0521024839215
1000,0.2,20,1,"NNI",0.0484461983310684,0.171472437270463,28.5038809343077
1000,0.2,20,2,"HWI",0.012465299593254,0.179987497559981,52.4917640011939
1000,0.2,20,2,"EWMA",0.00883750866726933,0.216853848995392,58.7857091516031
1000,0.2,20,2,"LI",0.0295934436786179,0.217098781052647,61.3350812027198
1000,0.2,20,2,"NNI",0.0625457379327629,0.217361584655741,64.826153915068
1000,0.2,20,3,"HWI",0.00333775597585559,0.156040030786969,46.2003640789877
1000,0.2,20,3,"EWMA",0.0513123906381258,0.215385161630556,59.7304939254842
