"N","P","G","Iteration","Method","max_iter","K","n_series","random","method","Modulus","Argument","MAE","RMSE","MAPE"
1000,0.1,10,1,"NNI",10,5,20,"TRUE","noise",0.05,0.523598775598299,0.0629949923043811,0.203601554967571,66.6029965916476
1000,0.1,10,1,"NNI",10,5,60,"TRUE","noise",0.05,0.523598775598299,0.0608047179465854,0.185984939304764,61.5419878651614
1000,0.1,10,1,"NNI",10,5,100,"TRUE","noise",0.05,0.523598775598299,0.0692493411486709,0.190713217288033,62.8298242713905
1000,0.1,10,1,"NNI",10,10,10,"TRUE","noise",0.05,0.523598775598299,0.0653915609454476,0.205113605194191,66.2112758459696
1000,0.1,10,1,"NNI",10,10,30,"TRUE","noise",0.05,0.523598775598299,0.0719747955089175,0.197731795459636,64.9670553924635
1000,0.1,10,1,"NNI",10,10,50,"TRUE","noise",0.05,0.523598775598299,0.0663095778410994,0.190953839331559,62.4688156188077
1000,0.1,10,1,"NNI",25,5,20,"TRUE","noise",0.05,0.523598775598299,0.105366556138333,0.197543225815426,63.758312408196
1000,0.1,10,1,"NNI",25,5,60,"TRUE","noise",0.05,0.523598775598299,0.0754454443102443,0.175729112615822,58.0898493092674
1000,0.1,10,1,"NNI",25,5,100,"TRUE","noise",0.05,0.523598775598299,0.0914864510183894,0.183766074492197,61.1332273901436
1000,0.1,10,1,"NNI",25,10,10,"TRUE","noise",0.05,0.523598775598299,0.0742406364923083,0.188302491002625,60.3921859408185
1000,0.1,10,1,"NNI",25,10,30,"TRUE","noise",0.05,0.523598775598299,0.0840355222349727,0.17969170860757,60.7549264790623
1000,0.1,10,1,"NNI",25,10,50,"TRUE","noise",0.05,0.523598775598299,0.0906874426012599,0.184559627863246,62.1876112120531
1000,0.1,10,1,"NNI",10,5,20,"FALSE","noise",0.05,0.523598775598299,0.0439527647679412,0.179610343287843,58.5919941005013
1000,0.1,10,1,"NNI",10,5,60,"FALSE","noise",0.05,0.523598775598299,0.0575155410950744,0.184700987800464,61.3804274746233
1000,0.1,10,1,"NNI",10,5,100,"FALSE","noise",0.05,0.523598775598299,0.0537608045672738,0.208814527938641,66.8928546186055
1000,0.1,10,1,"NNI",10,10,10,"FALSE","noise",0.05,0.523598775598299,0.0432693579977119,0.179881660814084,58.158302409339
1000,0.1,10,1,"NNI",10,10,30,"FALSE","noise",0.05,0.523598775598299,0.044041332889136,0.174765388346989,56.9177832114772
1000,0.1,10,1,"NNI",10,10,50,"FALSE","noise",0.05,0.523598775598299,0.0458205200617873,0.190472871860868,62.734701130014
1000,0.1,10,1,"NNI",25,5,20,"FALSE","noise",0.05,0.523598775598299,0.0406412764912211,0.177402893951192,57.1331890052459
1000,0.1,10,1,"NNI",25,5,60,"FALSE","noise",0.05,0.523598775598299,0.0563732619350516,0.182457758834395,61.0223346299964
1000,0.1,10,1,"NNI",25,5,100,"FALSE","noise",0.05,0.523598775598299,0.0849705312197768,0.193823465443748,62.6491039130511
1000,0.1,10,1,"NNI",25,10,10,"FALSE","noise",0.05,0.523598775598299,0.0434998292332255,0.179949110949906,58.5514506713258
1000,0.1,10,1,"NNI",25,10,30,"FALSE","noise",0.05,0.523598775598299,0.0471158194666469,0.17860405381693,58.3484995417377
1000,0.1,10,1,"NNI",25,10,50,"FALSE","noise",0.05,0.523598775598299,0.0586159116631114,0.182833162800242,58.9716964929405
1000,0.1,10,1,"NNI",10,5,20,"TRUE","all",0.05,0.523598775598299,0.039411896664437,0.225048623701627,71.6247502303091
1000,0.1,10,1,"NNI",10,5,60,"TRUE","all",0.05,0.523598775598299,0.0593063523059451,0.206976741479267,66.6628837255776
1000,0.1,10,1,"NNI",10,5,100,"TRUE","all",0.05,0.523598775598299,0.0555213038211429,0.202931106726436,65.7298284832381
1000,0.1,10,1,"NNI",10,10,10,"TRUE","all",0.05,0.523598775598299,0.0563167073016727,0.200424487216182,60.7697916065094
1000,0.1,10,1,"NNI",10,10,30,"TRUE","all",0.05,0.523598775598299,0.0628426875656211,0.207851151383706,68.672028475982
1000,0.1,10,1,"NNI",10,10,50,"TRUE","all",0.05,0.523598775598299,0.0553928250258529,0.212054897780168,69.1567467484328
1000,0.1,10,1,"NNI",25,5,20,"TRUE","all",0.05,0.523598775598299,0.0797436772828662,0.207547381723719,66.997018314253
1000,0.1,10,1,"NNI",25,5,60,"TRUE","all",0.05,0.523598775598299,0.0751079004889094,0.203025034399734,67.8952917510392
1000,0.1,10,1,"NNI",25,5,100,"TRUE","all",0.05,0.523598775598299,0.0757404362445438,0.203523805368803,67.3663629131004
1000,0.1,10,1,"NNI",25,10,10,"TRUE","all",0.05,0.523598775598299,0.0628901064401233,0.202080030979813,64.5519675605214
1000,0.1,10,1,"NNI",25,10,30,"TRUE","all",0.05,0.523598775598299,0.0723019935494029,0.197382257449358,64.767228759581
1000,0.1,10,1,"NNI",25,10,50,"TRUE","all",0.05,0.523598775598299,0.08093065799528,0.203037983176058,68.6283106232485
1000,0.1,10,1,"NNI",10,5,20,"FALSE","all",0.05,0.523598775598299,0.0495712009256446,0.183529450422634,59.4662343234483
1000,0.1,10,1,"NNI",10,5,60,"FALSE","all",0.05,0.523598775598299,0.0567091681843364,0.191050279183124,63.3861191708602
1000,0.1,10,1,"NNI",10,5,100,"FALSE","all",0.05,0.523598775598299,0.0574855616425836,0.201521469241539,66.6794468274919
1000,0.1,10,1,"NNI",10,10,10,"FALSE","all",0.05,0.523598775598299,0.0452959920054042,0.183060750729004,58.3242966726785
1000,0.1,10,1,"NNI",10,10,30,"FALSE","all",0.05,0.523598775598299,0.0456579667811954,0.18030418197733,58.2518248034773
1000,0.1,10,1,"NNI",10,10,50,"FALSE","all",0.05,0.523598775598299,0.0428758590852582,0.195879571205589,61.1904060259412
1000,0.1,10,1,"NNI",25,5,20,"FALSE","all",0.05,0.523598775598299,0.0433144759779536,0.179144546482856,58.2515062011795
1000,0.1,10,1,"NNI",25,5,60,"FALSE","all",0.05,0.523598775598299,0.0559247257595622,0.188923414697064,62.0075510674006
1000,0.1,10,1,"NNI",25,5,100,"FALSE","all",0.05,0.523598775598299,0.0629040238206946,0.200215385818354,64.7721498304793
1000,0.1,10,1,"NNI",25,10,10,"FALSE","all",0.05,0.523598775598299,0.0389158254390323,0.178119639369313,57.130299971448
1000,0.1,10,1,"NNI",25,10,30,"FALSE","all",0.05,0.523598775598299,0.0439955955272281,0.179023972331019,57.7083787451677
1000,0.1,10,1,"NNI",25,10,50,"FALSE","all",0.05,0.523598775598299,0.0550935930972659,0.196069964044544,62.3250275046268
1000,0.1,10,2,"NNI",10,5,20,"TRUE","noise",0.05,0.523598775598299,0.0218580876908536,0.190921893488117,56.8545954067692
1000,0.1,10,2,"NNI",10,5,60,"TRUE","noise",0.05,0.523598775598299,0.0215565933606858,0.178335433117531,50.1597644337058
1000,0.1,10,2,"NNI",10,5,100,"TRUE","noise",0.05,0.523598775598299,0.0163887736073966,0.176328739458325,48.0312342383828
1000,0.1,10,2,"NNI",10,10,10,"TRUE","noise",0.05,0.523598775598299,0.0107929439417357,0.183605901278226,55.7005420170132
1000,0.1,10,2,"NNI",10,10,30,"TRUE","noise",0.05,0.523598775598299,0.0185448902718062,0.184438972665548,48.6571488419786
1000,0.1,10,2,"NNI",10,10,50,"TRUE","noise",0.05,0.523598775598299,0.013448722692513,0.172927348377543,49.1526415056068
