"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.1,10,1,"HWI",0.00377349285230044,0.111260228980648,31.6153581611607
1000,0.1,10,1,"EWMA",0.0163347670735789,0.219928729985234,68.116790207289
1000,0.1,10,1,"LI",0.0282937976674981,0.208010602005887,65.1881471180712
1000,0.1,10,2,"HWI",0.00522664963882941,0.119871649994606,43.6773860804216
1000,0.1,10,2,"EWMA",0.00392899171104531,0.186214308941435,50.6734360178656
1000,0.1,10,2,"LI",0.00958367450789881,0.198678068829283,55.0707554923267
1000,0.1,10,3,"HWI",0.0115438171769755,0.107810716461795,25.6894861072166
1000,0.1,10,3,"EWMA",0.00901177726426149,0.16833021355625,37.084328307733
1000,0.1,10,3,"LI",0.00677596018144301,0.182217458804079,38.7330749158511
1000,0.1,10,4,"HWI",0.014319009228405,0.122117640926838,21.9022057002664
1000,0.1,10,4,"EWMA",0.00639376238558994,0.205293898067561,39.8764733181605
1000,0.1,10,4,"LI",0.0149859616273746,0.236081601752402,43.2648959660256
1000,0.1,10,5,"HWI",0.00207269697254056,0.113799454834512,18.8212864791946
1000,0.1,10,5,"EWMA",0.037774481889982,0.176261124521371,27.8993153391937
1000,0.1,10,5,"LI",0.0202038651039451,0.163454523915396,27.1670486061527
1000,0.1,20,1,"HWI",0.00970455612203936,0.0996150269956259,19.4719650965338
1000,0.1,20,1,"EWMA",0.0383636118955556,0.181509987220806,33.6703286324652
1000,0.1,20,1,"LI",0.0485541229639521,0.224662919781443,41.9240031740202
1000,0.1,20,2,"HWI",0.00738256344949708,0.11590375788755,20.9990682110123
1000,0.1,20,2,"EWMA",0.0314877180589649,0.238597469950734,45.2081710105387
1000,0.1,20,2,"LI",0.052162988874486,0.228809942430375,42.4015490603924
1000,0.1,20,3,"HWI",0.0144465202375599,0.109832996451651,17.885016393638
1000,0.1,20,3,"EWMA",0.00661013558703065,0.156735028433491,28.1758619471264
1000,0.1,20,3,"LI",0.0307875573127385,0.174405228185725,29.5302918267744
1000,0.1,20,4,"HWI",0.0195503330729642,0.114859216437914,28.7145321476407
1000,0.1,20,4,"EWMA",0.0044779076862456,0.177693449856684,51.6754031268665
1000,0.1,20,4,"LI",0.007047432153883,0.162356473084332,49.4246142016947
1000,0.1,20,5,"HWI",0.0264787245569373,0.115239526002887,26.9197073978271
1000,0.1,20,5,"EWMA",0.0815826661832766,0.194892784916625,52.7780628177319
1000,0.1,20,5,"LI",0.105023351203815,0.212229033852228,55.9428304171566
